t_code_units,ps
-9.750000000000000000e+01,-6.417566579774999980e+01
-9.748000000000000398e+01,-6.416250155861200710e+01
-9.745999999999999375e+01,-6.414933731947400020e+01
-9.743999999999999773e+01,-6.413617308033599329e+01
-9.742000000000000171e+01,-6.412300884119800060e+01
-9.740000000000000568e+01,-6.410984460206000790e+01
-9.737999999999999545e+01,-6.409668036292200100e+01
-9.735999999999999943e+01,-6.408351612378399409e+01
-9.734000000000000341e+01,-6.407035188464600139e+01
-9.731999999999999318e+01,-6.405718764550799449e+01
-9.729999999999999716e+01,-6.404402340637000179e+01
-9.728000000000000114e+01,-6.403085916723199489e+01
-9.726000000000000512e+01,-6.401769492809400219e+01
-9.723999999999999488e+01,-6.400453068895599529e+01
-9.721999999999999886e+01,-6.399136644981800259e+01
-9.720000000000000284e+01,-6.397820221068000279e+01
-9.717999999999999261e+01,-6.396503797154199589e+01
-9.715999999999999659e+01,-6.395187373240399609e+01
-9.714000000000000057e+01,-6.393870949326600339e+01
-9.712000000000000455e+01,-6.392554525412800359e+01
-9.709999999999999432e+01,-6.391238101498999669e+01
-9.707999999999999829e+01,-6.389921677585199689e+01
-9.706000000000000227e+01,-6.388605253671400419e+01
-9.704000000000000625e+01,-6.387288829757600439e+01
-9.701999999999999602e+01,-6.385972405843799748e+01
-9.700000000000000000e+01,-6.384655981929999768e+01
-9.698000000000000398e+01,-6.383339558016200499e+01
-9.695999999999999375e+01,-6.382023134102399808e+01
-9.693999999999999773e+01,-6.380706710188599828e+01
-9.692000000000000171e+01,-6.379390286274799848e+01
-9.690000000000000568e+01,-6.378073862361000579e+01
-9.687999999999999545e+01,-6.376757438447199888e+01
-9.685999999999999943e+01,-6.375441014533399908e+01
-9.684000000000000341e+01,-6.374124590619599928e+01
-9.681999999999999318e+01,-6.372808166705799948e+01
-9.679999999999999716e+01,-6.371491742791999968e+01
-9.678000000000000114e+01,-6.370175318878199988e+01
-9.676000000000000512e+01,-6.368858894964400719e+01
-9.673999999999999488e+01,-6.367542471050600028e+01
-9.671999999999999886e+01,-6.366226047136800048e+01
-9.670000000000000284e+01,-6.364909623223000068e+01
-9.667999999999999261e+01,-6.363593199309199377e+01
