t_code_units,ps
6.382000000000000739e+01,4.200708708935800217e+01
6.392000000000000171e+01,4.207290828504800118e+01
6.402000000000001023e+01,4.213872948073800728e+01
6.412000000000000455e+01,4.220455067642800628e+01
6.421999999999999886e+01,4.227037187211799818e+01
6.432000000000000739e+01,4.233619306780800429e+01
6.442000000000000171e+01,4.240201426349800329e+01
6.452000000000001023e+01,4.246783545918800939e+01
6.462000000000000455e+01,4.253365665487800129e+01
6.471999999999999886e+01,4.259947785056800029e+01
6.482000000000000739e+01,4.266529904625800640e+01
6.492000000000000171e+01,4.273112024194799830e+01
6.502000000000001023e+01,4.279694143763800440e+01
6.512000000000000455e+01,4.286276263332800340e+01
6.521999999999999886e+01,4.292858382901800240e+01
6.532000000000000739e+01,4.299440502470800851e+01
6.542000000000000171e+01,4.306022622039800041e+01
6.552000000000001023e+01,4.312604741608800651e+01
6.562000000000000455e+01,4.319186861177800552e+01
6.571999999999999886e+01,4.325768980746799741e+01
6.582000000000000739e+01,4.332351100315800352e+01
6.592000000000000171e+01,4.338933219884800252e+01
6.602000000000001023e+01,4.345515339453800863e+01
6.612000000000000455e+01,4.352097459022800052e+01
6.621999999999999886e+01,4.358679578591799952e+01
6.632000000000000739e+01,4.365261698160800563e+01
6.642000000000000171e+01,4.371843817729800463e+01
6.652000000000001023e+01,4.378425937298800363e+01
6.662000000000000455e+01,4.385008056867800263e+01
6.671999999999999886e+01,4.391590176436800164e+01
6.682000000000000739e+01,4.398172296005800774e+01
6.692000000000000171e+01,4.404754415574799964e+01
6.702000000000001023e+01,4.411336535143800575e+01
6.712000000000000455e+01,4.417918654712800475e+01
6.721999999999999886e+01,4.424500774281799664e+01
6.732000000000000739e+01,4.431082893850800275e+01
6.742000000000000171e+01,4.437665013419800175e+01
6.752000000000001023e+01,4.444247132988800786e+01
6.762000000000000455e+01,4.450829252557800686e+01
6.771999999999999886e+01,4.457411372126799876e+01
6.782000000000000739e+01,4.463993491695800486e+01
6.792000000000000171e+01,4.470575611264800386e+01
6.802000000000001023e+01,4.477157730833800997e+01
6.812000000000000455e+01,4.483739850402800187e+01
6.821999999999999886e+01,4.490321969971800087e+01
6.832000000000000739e+01,4.496904089540800697e+01
6.842000000000000171e+01,4.503486209109799887e+01
6.852000000000001023e+01,4.510068328678800498e+01
6.862000000000000455e+01,4.516650448247800398e+01
6.871999999999999886e+01,4.523232567816800298e+01
6.882000000000000739e+01,4.529814687385800198e+01
6.892000000000000171e+01,4.536396806954800098e+01
6.902000000000001023e+01,4.542978926523800709e+01
6.912000000000000455e+01,4.549561046092800609e+01
6.921999999999999886e+01,4.556143165661799799e+01
6.932000000000000739e+01,4.562725285230800409e+01
6.942000000000000171e+01,4.569307404799800310e+01
6.952000000000001023e+01,4.575889524368800920e+01
6.962000000000000455e+01,4.582471643937800110e+01
6.971999999999999886e+01,4.589053763506800010e+01
6.982000000000000739e+01,4.595635883075800621e+01
6.992000000000000171e+01,4.602218002644799810e+01
7.002000000000001023e+01,4.608800122213800421e+01
7.012000000000000455e+01,4.615382241782800321e+01
7.021999999999999886e+01,4.621964361351800221e+01
7.032000000000000739e+01,4.628546480920800832e+01
7.042000000000000171e+01,4.635128600489800021e+01
7.052000000000001023e+01,4.641710720058800632e+01
7.062000000000000455e+01,4.648292839627800532e+01
7.071999999999999886e+01,4.654874959196799722e+01
7.082000000000000739e+01,4.661457078765800333e+01
7.092000000000000171e+01,4.668039198334800233e+01
7.102000000000001023e+01,4.674621317903800843e+01
7.112000000000000455e+01,4.681203437472800033e+01
7.121999999999999886e+01,4.687785557041799933e+01
7.132000000000000739e+01,4.694367676610800544e+01
7.142000000000000171e+01,4.700949796179800444e+01
7.152000000000001023e+01,4.707531915748801055e+01
7.162000000000000455e+01,4.714114035317800244e+01
7.171999999999999886e+01,4.720696154886800144e+01
7.182000000000000739e+01,4.727278274455800755e+01
7.192000000000000171e+01,4.733860394024799945e+01
7.202000000000001023e+01,4.740442513593800555e+01
7.212000000000000455e+01,4.747024633162800455e+01
7.221999999999999886e+01,4.753606752731799645e+01
7.232000000000000739e+01,4.760188872300800256e+01
7.242000000000000171e+01,4.766770991869800156e+01
7.252000000000001023e+01,4.773353111438800767e+01
7.262000000000000455e+01,4.779935231007800667e+01
7.271999999999999886e+01,4.786517350576799856e+01
7.282000000000000739e+01,4.793099470145800467e+01
7.292000000000000171e+01,4.799681589714800367e+01
7.302000000000001023e+01,4.806263709283800978e+01
7.312000000000000455e+01,4.812845828852800167e+01
7.321999999999999886e+01,4.819427948421800068e+01
7.332000000000000739e+01,4.826010067990800678e+01
7.342000000000000171e+01,4.832592187559799868e+01
7.352000000000001023e+01,4.839174307128800478e+01
7.362000000000000455e+01,4.845756426697800379e+01
7.371999999999999886e+01,4.852338546266800279e+01
7.382000000000000739e+01,4.858920665835800179e+01
7.392000000000000171e+01,4.865502785404800079e+01
7.402000000000001023e+01,4.872084904973800690e+01
7.412000000000000455e+01,4.878667024542800590e+01
7.421999999999999886e+01,4.885249144111799779e+01
7.432000000000000739e+01,4.891831263680800390e+01
7.442000000000000171e+01,4.898413383249800290e+01
7.452000000000001023e+01,4.904995502818800901e+01
7.462000000000000455e+01,4.911577622387800091e+01
7.471999999999999886e+01,4.918159741956799991e+01
7.482000000000000739e+01,4.924741861525800601e+01
7.492000000000000171e+01,4.931323981094800502e+01
7.502000000000001023e+01,4.937906100663800402e+01
7.512000000000000455e+01,4.944488220232800302e+01
7.521999999999999886e+01,4.951070339801800202e+01
7.532000000000000739e+01,4.957652459370800813e+01
7.542000000000000171e+01,4.964234578939800002e+01
7.552000000000001023e+01,4.970816698508800613e+01
7.562000000000000455e+01,4.977398818077800513e+01
7.571999999999999886e+01,4.983980937646799703e+01
7.582000000000000739e+01,4.990563057215800313e+01
7.592000000000000171e+01,4.997145176784800213e+01
7.602000000000001023e+01,5.003727296353800824e+01
7.612000000000000455e+01,5.010309415922800014e+01
7.621999999999999886e+01,5.016891535491799914e+01
7.632000000000000739e+01,5.023473655060800525e+01
7.642000000000000171e+01,5.030055774629800425e+01
7.652000000000001023e+01,5.036637894198801035e+01
7.662000000000000455e+01,5.043220013767800225e+01
7.671999999999999886e+01,5.049802133336800125e+01
7.682000000000000739e+01,5.056384252905800736e+01
7.692000000000000171e+01,5.062966372474799925e+01
7.702000000000001023e+01,5.069548492043800536e+01
7.712000000000000455e+01,5.076130611612800436e+01
7.721999999999999886e+01,5.082712731181799626e+01
7.732000000000000739e+01,5.089294850750800236e+01
7.742000000000000171e+01,5.095876970319800137e+01
7.752000000000001023e+01,5.102459089888800747e+01
7.762000000000000455e+01,5.109041209457800647e+01
7.771999999999999886e+01,5.115623329026799837e+01
7.782000000000000739e+01,5.122205448595800448e+01
7.792000000000000171e+01,5.128787568164800348e+01
7.802000000000001023e+01,5.135369687733800959e+01
7.812000000000000455e+01,5.141951807302800148e+01
7.821999999999999886e+01,5.148533926871800048e+01
7.832000000000000739e+01,5.155116046440800659e+01
7.842000000000000171e+01,5.161698166009799849e+01
7.852000000000001023e+01,5.168280285578800459e+01
7.862000000000000455e+01,5.174862405147800359e+01
7.871999999999999886e+01,5.181444524716800260e+01
7.882000000000000739e+01,5.188026644285800870e+01
7.892000000000000171e+01,5.194608763854800060e+01
7.902000000000001023e+01,5.201190883423800670e+01
7.912000000000000455e+01,5.207773002992800571e+01
7.921999999999999886e+01,5.214355122561799760e+01
7.932000000000000739e+01,5.220937242130800371e+01
7.942000000000000171e+01,5.227519361699800271e+01
7.952000000000001023e+01,5.234101481268800882e+01
7.962000000000000455e+01,5.240683600837800071e+01
7.971999999999999886e+01,5.247265720406799971e+01
7.982000000000000739e+01,5.253847839975800582e+01
7.992000000000000171e+01,5.260429959544800482e+01
8.002000000000001023e+01,5.267012079113800382e+01
8.012000000000000455e+01,5.273594198682800283e+01
8.021999999999999886e+01,5.280176318251800183e+01
8.032000000000000739e+01,5.286758437820800793e+01
