tau_code_units,ps
-6.659999999999999432e+01,-4.383691632953999573e+01
-6.639999999999999147e+01,-4.370527393815999773e+01
-6.620000000000000284e+01,-4.357363154677999972e+01
-6.600000000000000000e+01,-4.344198915540000172e+01
-6.579999999999999716e+01,-4.331034676401999661e+01
-6.559999999999999432e+01,-4.317870437263999861e+01
-6.539999999999999147e+01,-4.304706198125999350e+01
-6.520000000000000284e+01,-4.291541958988000260e+01
-6.500000000000000000e+01,-4.278377719849999750e+01
-6.479999999999999716e+01,-4.265213480711999949e+01
-6.459999999999999432e+01,-4.252049241573999439e+01
-6.439999999999999147e+01,-4.238885002435999638e+01
-6.420000000000000284e+01,-4.225720763298000549e+01
-6.400000000000000000e+01,-4.212556524160000038e+01
-6.379999999999999716e+01,-4.199392285021999527e+01
-6.359999999999999432e+01,-4.186228045883999727e+01
-6.339999999999999858e+01,-4.173063806745999926e+01
-6.319999999999999574e+01,-4.159899567607999415e+01
-6.300000000000000000e+01,-4.146735328470000326e+01
-6.279999999999999716e+01,-4.133571089331999815e+01
-6.259999999999999432e+01,-4.120406850194000015e+01
-6.239999999999999858e+01,-4.107242611056000214e+01
-6.219999999999999574e+01,-4.094078371917999704e+01
-6.200000000000000000e+01,-4.080914132779999903e+01
-6.179999999999999716e+01,-4.067749893642000103e+01
-6.159999999999999432e+01,-4.054585654503999592e+01
-6.139999999999999858e+01,-4.041421415365999792e+01
-6.119999999999999574e+01,-4.028257176227999992e+01
-6.100000000000000000e+01,-4.015092937090000191e+01
-6.079999999999999716e+01,-4.001928697951999681e+01
-6.059999999999999432e+01,-3.988764458813999880e+01
-6.039999999999999858e+01,-3.975600219676000080e+01
-6.019999999999999574e+01,-3.962435980537999569e+01
-6.000000000000000000e+01,-3.949271741399999769e+01
-5.979999999999999716e+01,-3.936107502261999969e+01
-5.959999999999999432e+01,-3.922943263123999458e+01
-5.939999999999999858e+01,-3.909779023985999657e+01
-5.919999999999999574e+01,-3.896614784847999857e+01
-5.900000000000000000e+01,-3.883450545710000057e+01
-5.879999999999999716e+01,-3.870286306571999546e+01
-5.859999999999999432e+01,-3.857122067433999746e+01
-5.839999999999999858e+01,-3.843957828295999946e+01
-5.819999999999999574e+01,-3.830793589157999435e+01
-5.800000000000000000e+01,-3.817629350020000345e+01
-5.779999999999999716e+01,-3.804465110881999834e+01
-5.759999999999999432e+01,-3.791300871743999323e+01
-5.739999999999999858e+01,-3.778136632606000234e+01
-5.719999999999999574e+01,-3.764972393467999723e+01
-5.700000000000000000e+01,-3.751808154329999923e+01
-5.679999999999999716e+01,-3.738643915192000122e+01
-5.659999999999999432e+01,-3.725479676053999611e+01
-5.639999999999999858e+01,-3.712315436915999811e+01
-5.619999999999999574e+01,-3.699151197778000011e+01
-5.600000000000000000e+01,-3.685986958640000211e+01
-5.579999999999999716e+01,-3.672822719501999700e+01
-5.559999999999999432e+01,-3.659658480363999900e+01
-5.539999999999999858e+01,-3.646494241226000099e+01
-5.519999999999999574e+01,-3.633330002087999588e+01
-5.499999999999999289e+01,-3.620165762949999788e+01
-5.479999999999999716e+01,-3.607001523811999988e+01
-5.459999999999999432e+01,-3.593837284673999477e+01
-5.439999999999999858e+01,-3.580673045535999677e+01
-5.419999999999999574e+01,-3.567508806397999876e+01
-5.399999999999999289e+01,-3.554344567259999366e+01
-5.379999999999999716e+01,-3.541180328121999565e+01
-5.359999999999999432e+01,-3.528016088983999765e+01
-5.339999999999999858e+01,-3.514851849845999965e+01
-5.319999999999999574e+01,-3.501687610707999454e+01
-5.299999999999999289e+01,-3.488523371569999654e+01
-5.279999999999999716e+01,-3.475359132431999853e+01
