t_code,t_ps,Sx,Sy,Sz,l1,l2,l3,l4,l5,l6,l7,l8
-1.290200e+02,-8.492251e+01,-8.385066e-03,1.165517e-17,0.000000e+00,-2.124071e-03,-1.409185e-03,9.999965e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.290000e+02,-8.490934e+01,-8.385739e-03,1.290201e-17,0.000000e+00,-2.175065e-03,-1.382980e-03,9.999964e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.289800e+02,-8.489618e+01,-8.386443e-03,1.507041e-17,0.000000e+00,-2.224776e-03,-1.354784e-03,9.999963e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.289600e+02,-8.488301e+01,-8.387155e-03,1.463673e-17,0.000000e+00,-2.273127e-03,-1.324656e-03,9.999962e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.289400e+02,-8.486985e+01,-8.387846e-03,1.554475e-17,0.000000e+00,-2.320044e-03,-1.292662e-03,9.999961e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.289200e+02,-8.485669e+01,-8.388513e-03,1.768605e-17,0.000000e+00,-2.365454e-03,-1.258867e-03,9.999960e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.289000e+02,-8.484352e+01,-8.389180e-03,1.761829e-17,0.000000e+00,-2.409291e-03,-1.223341e-03,9.999960e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.288800e+02,-8.483036e+01,-8.389864e-03,1.830946e-17,0.000000e+00,-2.451489e-03,-1.186154e-03,9.999959e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.288600e+02,-8.481719e+01,-8.390559e-03,1.591067e-17,0.000000e+00,-2.491987e-03,-1.147383e-03,9.999958e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.288400e+02,-8.480403e+01,-8.391235e-03,1.531436e-17,0.000000e+00,-2.530725e-03,-1.107102e-03,9.999957e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.288200e+02,-8.479086e+01,-8.391876e-03,1.647987e-17,0.000000e+00,-2.567648e-03,-1.065391e-03,9.999957e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.288000e+02,-8.477770e+01,-8.392490e-03,1.680513e-17,0.000000e+00,-2.602705e-03,-1.022329e-03,9.999956e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.287800e+02,-8.476454e+01,-8.393102e-03,1.745565e-17,0.000000e+00,-2.635848e-03,-9.779984e-04,9.999956e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.287600e+02,-8.475137e+01,-8.393719e-03,1.782157e-17,0.000000e+00,-2.667031e-03,-9.324839e-04,9.999955e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.287400e+02,-8.473821e+01,-8.394320e-03,1.608685e-17,0.000000e+00,-2.696215e-03,-8.858705e-04,9.999954e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.287200e+02,-8.472504e+01,-8.394881e-03,1.714395e-17,0.000000e+00,-2.723361e-03,-8.382448e-04,9.999954e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
